id,industry,role,sub_role,main_workflow,subroutine,risk_level,ai_coverage,impact_type,tools,tool_urls
f1809d59,Product Mgmt,Product Manager,General,Automation,Alert noise reduction,Moderate,PA,Complemented,LawGeex,https://www.lawgeex.com
b1521a2a,Product Mgmt,Product Manager,General,Reporting,Variance analysis narrative,Moderate,PA,Complemented,ChatGPT,https://chat.openai.com
dba47cf0,Product Mgmt,Product Manager,General,Analysis,Sentiment analysis,Low,AO,Complemented,GA4 Insight Finder,https://support.google.com/analytics/answer/9443595
3fe2bf3c,Product Mgmt,Product Manager,General,Analysis,Competitive benchmarking,Low,AO,Complemented,Adobe Firefly,https://www.adobe.com/products/firefly.html
2ae9357d,Product Mgmt,Product Manager,General,Analysis,Trend forecasting,High,PA,Replaced,MindBridge,https://www.mindbridge.ai
b57b40ed,Product Mgmt,Product Manager,General,Creative,Concept art,Moderate,PA,Complemented,Adobe Firefly,https://www.adobe.com/products/firefly.html
167d07cb,Product Mgmt,Product Manager,General,Testing,Load test script,High,PA,Replaced,MindBridge,https://www.mindbridge.ai
8f67485f,Product Mgmt,Product Manager,General,Testing,User-testing summary,Moderate,PA,Complemented,MindBridge,https://www.mindbridge.ai
7215672c,Product Mgmt,Product Owner,General,Automation,Invoice OCR,Low,AO,Complemented,Adobe Firefly,https://www.adobe.com/products/firefly.html
1cf0ed71,Product Mgmt,Product Owner,General,Reporting,Variance analysis narrative,Moderate,PA,Complemented,Google Performance Max,https://ads.google.com/performance-max
dc61c331,Product Mgmt,Product Owner,General,Analysis,Earnings call summary,Low,AO,Complemented,LawGeex,https://www.lawgeex.com
c2757a19,Product Mgmt,Product Owner,General,Creative,Concept art,High,PA,Replaced,Jasper,https://jasper.ai
8eafdfa4,Product Mgmt,Product Owner,General,Testing,Load test script,Moderate,PA,Complemented,ChatGPT,https://chat.openai.com
115f09af,Product Mgmt,Product Owner,General,Testing,User-testing summary,Moderate,PA,Complemented,Google Performance Max,https://ads.google.com/performance-max
29b2bbb9,Product Mgmt,Data PM,General,Automation,Ticket triage,Low,AO,Complemented,Adobe Firefly,https://www.adobe.com/products/firefly.html
555ae199,Product Mgmt,Data PM,General,Automation,Alert noise reduction,Low,AO,Complemented,Otter.ai,https://otter.ai
5b870a29,Product Mgmt,Data PM,General,Reporting,Monthly KPI deck,Low,AO,Complemented,Google Performance Max,https://ads.google.com/performance-max
87e66826,Product Mgmt,Data PM,General,Reporting,Pipeline dashboard,Low,AO,Complemented,GA4 Insight Finder,https://support.google.com/analytics/answer/9443595
dadf9595,Product Mgmt,Data PM,General,Reporting,Variance analysis narrative,Moderate,PA,Complemented,Tableau Pulse,https://www.tableau.com/products/new-features/tableau-pulse
e72d485f,Product Mgmt,Data PM,General,Analysis,Competitive benchmarking,High,PA,Replaced,GitHub Copilot,https://github.com/features/copilot
a3783d3a,Product Mgmt,Data PM,General,Analysis,Trend forecasting,Low,AO,Complemented,Tableau Pulse,https://www.tableau.com/products/new-features/tableau-pulse
9e6f881e,Product Mgmt,Data PM,General,Creative,Ad graphic generation,Moderate,PA,Complemented,Tableau Pulse,https://www.tableau.com/products/new-features/tableau-pulse
8cc2b41b,Product Mgmt,Data PM,General,Creative,Blog outline,Moderate,PA,Complemented,Google Performance Max,https://ads.google.com/performance-max
06058c93,Product Mgmt,Data PM,General,Creative,Lesson plan draft,Moderate,PA,Complemented,MindBridge,https://www.mindbridge.ai
0e2ea7b1,Product Mgmt,Data PM,General,Testing,User-testing summary,Low,AO,Complemented,ChatGPT,https://chat.openai.com
9d378a20,Design,UX/UI Designer,General,Automation,Invoice OCR,Low,AO,Complemented,Jasper,https://jasper.ai
d892864d,Design,UX/UI Designer,General,Automation,Ticket triage,Moderate,PA,Complemented,LawGeex,https://www.lawgeex.com
c303050d,Design,UX/UI Designer,General,Automation,Alert noise reduction,Low,AO,Complemented,GitHub Copilot,https://github.com/features/copilot
b0e9480f,Design,UX/UI Designer,General,Reporting,Pipeline dashboard,High,PA,Replaced,GitHub Copilot,https://github.com/features/copilot
b3180dbe,Design,UX/UI Designer,General,Analysis,Sentiment analysis,Moderate,PA,Complemented,Google Performance Max,https://ads.google.com/performance-max
0ae2a842,Design,UX/UI Designer,General,Analysis,Competitive benchmarking,Low,AO,Complemented,HashiCorp Ai/Code,https://developer.hashicorp.com/terraform/cloud/aicode
9a9f5855,Design,UX/UI Designer,General,Testing,Unit test generation,Low,AO,Complemented,Otter.ai,https://otter.ai
00c48402,Design,UX/UI Designer,General,Testing,User-testing summary,Low,AO,Complemented,ChatGPT,https://chat.openai.com
651b9cc5,Design,Graphic Designer,General,Automation,Invoice OCR,Low,AO,Complemented,GitHub Copilot,https://github.com/features/copilot
04344562,Design,Graphic Designer,General,Automation,Alert noise reduction,Moderate,PA,Complemented,GA4 Insight Finder,https://support.google.com/analytics/answer/9443595
c065d787,Design,Graphic Designer,General,Reporting,Variance analysis narrative,Low,AO,Complemented,Tableau Pulse,https://www.tableau.com/products/new-features/tableau-pulse
0cba590f,Design,Graphic Designer,General,Analysis,Sentiment analysis,Moderate,PA,Complemented,Otter.ai,https://otter.ai
7244a4a0,Design,Graphic Designer,General,Analysis,Earnings call summary,Moderate,PA,Complemented,Adobe Firefly,https://www.adobe.com/products/firefly.html
e1cdb345,Design,Graphic Designer,General,Creative,Ad graphic generation,Low,AO,Complemented,Jasper,https://jasper.ai
d645a995,Design,Graphic Designer,General,Creative,Blog outline,High,PA,Replaced,Jasper,https://jasper.ai
8549e922,Design,Graphic Designer,General,Creative,Concept art,Moderate,PA,Complemented,Adobe Firefly,https://www.adobe.com/products/firefly.html
c6962470,Design,UX Researcher,General,Automation,Data entry,High,PA,Replaced,MindBridge,https://www.mindbridge.ai
5e8d65f6,Design,UX Researcher,General,Automation,Alert noise reduction,Moderate,PA,Complemented,Otter.ai,https://otter.ai
3dcf13ef,Design,UX Researcher,General,Reporting,Monthly KPI deck,High,PA,Replaced,Jasper,https://jasper.ai
212b4b7f,Design,UX Researcher,General,Reporting,Variance analysis narrative,High,PA,Replaced,GitHub Copilot,https://github.com/features/copilot
d3cb076c,Design,UX Researcher,General,Analysis,Sentiment analysis,High,PA,Replaced,Tableau Pulse,https://www.tableau.com/products/new-features/tableau-pulse
16325309,Design,UX Researcher,General,Analysis,Earnings call summary,Moderate,PA,Complemented,Google Performance Max,https://ads.google.com/performance-max
057d563a,Design,UX Researcher,General,Creative,Concept art,Moderate,PA,Complemented,LawGeex,https://www.lawgeex.com
40372cbe,Design,UX Researcher,General,Testing,Unit test generation,High,PA,Replaced,HashiCorp Ai/Code,https://developer.hashicorp.com/terraform/cloud/aicode
7662be6c,Design,UX Researcher,General,Testing,Load test script,Moderate,PA,Complemented,ChatGPT,https://chat.openai.com
e6c58ffa,Design,UX Researcher,General,Testing,User-testing summary,High,PA,Replaced,Tableau Pulse,https://www.tableau.com/products/new-features/tableau-pulse
5aea8b62,Marketing,Content Marketer,General,Automation,Invoice OCR,High,PA,Replaced,Adobe Firefly,https://www.adobe.com/products/firefly.html
faa5b4e5,Marketing,Content Marketer,General,Automation,Alert noise reduction,Moderate,PA,Complemented,Otter.ai,https://otter.ai
ce7d77f9,Marketing,Content Marketer,General,Reporting,Monthly KPI deck,High,PA,Replaced,HashiCorp Ai/Code,https://developer.hashicorp.com/terraform/cloud/aicode
f574deeb,Marketing,Content Marketer,General,Analysis,Earnings call summary,Moderate,PA,Complemented,Tableau Pulse,https://www.tableau.com/products/new-features/tableau-pulse
2ee852b1,Marketing,Content Marketer,General,Creative,Ad graphic generation,Moderate,PA,Complemented,Jasper,https://jasper.ai
dcf9f021,Marketing,Content Marketer,General,Testing,Unit test generation,Low,AO,Complemented,Jasper,https://jasper.ai
2727ab3f,Marketing,Content Marketer,General,Testing,User-testing summary,High,PA,Replaced,GitHub Copilot,https://github.com/features/copilot
2832ebfc,Marketing,SEO Specialist,General,Automation,Alert noise reduction,Low,AO,Complemented,ChatGPT,https://chat.openai.com
b715741f,Marketing,SEO Specialist,General,Reporting,Monthly KPI deck,High,PA,Replaced,Tableau Pulse,https://www.tableau.com/products/new-features/tableau-pulse
8a60b937,Marketing,SEO Specialist,General,Reporting,Pipeline dashboard,Low,AO,Complemented,ChatGPT,https://chat.openai.com
adccfcfc,Marketing,SEO Specialist,General,Reporting,Variance analysis narrative,Moderate,PA,Complemented,GA4 Insight Finder,https://support.google.com/analytics/answer/9443595
3a0b0040,Marketing,SEO Specialist,General,Analysis,Competitive benchmarking,Low,AO,Complemented,MindBridge,https://www.mindbridge.ai
bb62f7ea,Marketing,SEO Specialist,General,Analysis,Trend forecasting,Moderate,PA,Complemented,LawGeex,https://www.lawgeex.com
d43ccd09,Marketing,SEO Specialist,General,Creative,Blog outline,Moderate,PA,Complemented,ChatGPT,https://chat.openai.com
2a778315,Marketing,SEO Specialist,General,Creative,Concept art,Moderate,PA,Complemented,GitHub Copilot,https://github.com/features/copilot
fb231a64,Marketing,SEO Specialist,General,Testing,Unit test generation,Low,AO,Complemented,Google Performance Max,https://ads.google.com/performance-max
8f306b17,Marketing,Digital Ads,General,Automation,Data entry,Moderate,PA,Complemented,Tableau Pulse,https://www.tableau.com/products/new-features/tableau-pulse
2c1173cf,Marketing,Digital Ads,General,Automation,Alert noise reduction,Low,AO,Complemented,Google Performance Max,https://ads.google.com/performance-max
b50a416b,Marketing,Digital Ads,General,Reporting,Monthly KPI deck,High,PA,Replaced,Otter.ai,https://otter.ai
f65389b8,Marketing,Digital Ads,General,Reporting,Pipeline dashboard,High,PA,Replaced,LawGeex,https://www.lawgeex.com
df8cb0c7,Marketing,Digital Ads,General,Creative,Concept art,Moderate,PA,Complemented,GitHub Copilot,https://github.com/features/copilot
4dbbef72,Marketing,Digital Ads,General,Creative,Lesson plan draft,High,PA,Replaced,Otter.ai,https://otter.ai
f8ecabda,Marketing,Digital Ads,General,Testing,Unit test generation,Moderate,PA,Complemented,Jasper,https://jasper.ai
db39cfa5,Marketing,Digital Ads,General,Testing,User-testing summary,Moderate,PA,Complemented,MindBridge,https://www.mindbridge.ai
5f51d828,Marketing,Social Media Mgr,General,Automation,Data entry,Moderate,PA,Complemented,Google Performance Max,https://ads.google.com/performance-max
f21fa069,Marketing,Social Media Mgr,General,Analysis,Competitive benchmarking,Moderate,PA,Complemented,Google Performance Max,https://ads.google.com/performance-max
a50bc952,Marketing,Social Media Mgr,General,Analysis,Earnings call summary,High,PA,Replaced,Adobe Firefly,https://www.adobe.com/products/firefly.html
cd696e65,Marketing,Social Media Mgr,General,Testing,Unit test generation,High,PA,Replaced,LawGeex,https://www.lawgeex.com
4e0bbab6,Marketing,Marketing Analyst,General,Automation,Invoice OCR,Low,AO,Complemented,Tableau Pulse,https://www.tableau.com/products/new-features/tableau-pulse
77b1a6ed,Marketing,Marketing Analyst,General,Automation,Alert noise reduction,Low,AO,Complemented,GitHub Copilot,https://github.com/features/copilot
2c876d89,Marketing,Marketing Analyst,General,Reporting,Pipeline dashboard,Low,AO,Complemented,Adobe Firefly,https://www.adobe.com/products/firefly.html
1a8797e1,Marketing,Marketing Analyst,General,Reporting,Variance analysis narrative,High,PA,Replaced,Tableau Pulse,https://www.tableau.com/products/new-features/tableau-pulse
381b605c,Marketing,Marketing Analyst,General,Analysis,Sentiment analysis,Moderate,PA,Complemented,Otter.ai,https://otter.ai
1989612a,Marketing,Marketing Analyst,General,Creative,Lesson plan draft,Low,AO,Complemented,MindBridge,https://www.mindbridge.ai
02a2fcf8,Marketing,Marketing Analyst,General,Testing,Unit test generation,Moderate,PA,Complemented,LawGeex,https://www.lawgeex.com
9e96454c,Marketing,Marketing Analyst,General,Testing,User-testing summary,Moderate,PA,Complemented,MindBridge,https://www.mindbridge.ai
79f35c1d,Legal,Paralegal,General,Automation,Alert noise reduction,High,PA,Replaced,LawGeex,https://www.lawgeex.com
07632da4,Legal,Paralegal,General,Reporting,Monthly KPI deck,Moderate,PA,Complemented,Google Performance Max,https://ads.google.com/performance-max
5f329955,Legal,Paralegal,General,Analysis,Trend forecasting,Moderate,PA,Complemented,Adobe Firefly,https://www.adobe.com/products/firefly.html
b95a2724,Legal,Paralegal,General,Creative,Ad graphic generation,Moderate,PA,Complemented,LawGeex,https://www.lawgeex.com
9b58449f,Legal,Paralegal,General,Creative,Lesson plan draft,Moderate,PA,Complemented,Jasper,https://jasper.ai
e9e47063,Legal,Paralegal,General,Testing,Unit test generation,Moderate,PA,Complemented,Adobe Firefly,https://www.adobe.com/products/firefly.html
49c741a9,Legal,Paralegal,General,Testing,Load test script,Moderate,PA,Complemented,HashiCorp Ai/Code,https://developer.hashicorp.com/terraform/cloud/aicode
4cdc3518,Legal,Junior Attorney,General,Automation,Data entry,Low,AO,Complemented,Jasper,https://jasper.ai
110d9cfa,Legal,Junior Attorney,General,Automation,Invoice OCR,Low,AO,Complemented,Adobe Firefly,https://www.adobe.com/products/firefly.html
dd97e81d,Legal,Junior Attorney,General,Reporting,Variance analysis narrative,Moderate,PA,Complemented,Otter.ai,https://otter.ai
21399f69,Legal,Junior Attorney,General,Analysis,Sentiment analysis,Low,AO,Complemented,GA4 Insight Finder,https://support.google.com/analytics/answer/9443595
37b28659,Legal,Junior Attorney,General,Analysis,Earnings call summary,Moderate,PA,Complemented,GitHub Copilot,https://github.com/features/copilot
bf1485d5,Legal,Junior Attorney,General,Creative,Blog outline,Low,AO,Complemented,MindBridge,https://www.mindbridge.ai
47d91267,Legal,Junior Attorney,General,Creative,Concept art,Low,AO,Complemented,Tableau Pulse,https://www.tableau.com/products/new-features/tableau-pulse
6264f555,Legal,Junior Attorney,General,Creative,Lesson plan draft,Low,AO,Complemented,HashiCorp Ai/Code,https://developer.hashicorp.com/terraform/cloud/aicode
39e69160,Legal,Junior Attorney,General,Testing,Unit test generation,Low,AO,Complemented,Tableau Pulse,https://www.tableau.com/products/new-features/tableau-pulse
ae2d0d03,Legal,Junior Attorney,General,Testing,Load test script,High,PA,Replaced,Jasper,https://jasper.ai
bd81446b,Legal,Senior Attorney,General,Reporting,Pipeline dashboard,Moderate,PA,Complemented,ChatGPT,https://chat.openai.com
857974dd,Legal,Senior Attorney,General,Analysis,Sentiment analysis,High,PA,Replaced,LawGeex,https://www.lawgeex.com
1c88c983,Legal,Senior Attorney,General,Creative,Lesson plan draft,Moderate,PA,Complemented,Adobe Firefly,https://www.adobe.com/products/firefly.html
d3cf4b0d,Legal,Senior Attorney,General,Testing,Unit test generation,High,PA,Replaced,Otter.ai,https://otter.ai
9054a8d5,Legal,Senior Attorney,General,Testing,Load test script,Moderate,PA,Complemented,HashiCorp Ai/Code,https://developer.hashicorp.com/terraform/cloud/aicode
acf0ed12,Legal,Senior Attorney,General,Testing,User-testing summary,Moderate,PA,Complemented,MindBridge,https://www.mindbridge.ai
ea854b4f,Legal,In-House Counsel,General,Automation,Ticket triage,Low,AO,Complemented,Adobe Firefly,https://www.adobe.com/products/firefly.html
8d5ec8c4,Legal,In-House Counsel,General,Automation,Alert noise reduction,Low,AO,Complemented,Adobe Firefly,https://www.adobe.com/products/firefly.html
946adaa6,Legal,In-House Counsel,General,Reporting,Monthly KPI deck,Moderate,PA,Complemented,Jasper,https://jasper.ai
6026ff87,Legal,In-House Counsel,General,Reporting,Variance analysis narrative,Moderate,PA,Complemented,Otter.ai,https://otter.ai
aeb1bbf5,Legal,In-House Counsel,General,Analysis,Sentiment analysis,Moderate,PA,Complemented,LawGeex,https://www.lawgeex.com
28b7f231,Legal,In-House Counsel,General,Analysis,Competitive benchmarking,Moderate,PA,Complemented,Jasper,https://jasper.ai
f5bf5f19,Legal,In-House Counsel,General,Analysis,Trend forecasting,High,PA,Replaced,Google Performance Max,https://ads.google.com/performance-max
ac69af97,Legal,In-House Counsel,General,Creative,Lesson plan draft,Moderate,PA,Complemented,Otter.ai,https://otter.ai
eb427aab,Legal,In-House Counsel,General,Testing,Load test script,High,PA,Replaced,MindBridge,https://www.mindbridge.ai
6e0f028b,Legal,In-House Counsel,General,Testing,User-testing summary,High,PA,Replaced,ChatGPT,https://chat.openai.com
b9d15154,Accounting,Bookkeeper,General,Reporting,Pipeline dashboard,Low,AO,Complemented,Otter.ai,https://otter.ai
d2407ae3,Accounting,Bookkeeper,General,Reporting,Variance analysis narrative,Low,AO,Complemented,Google Performance Max,https://ads.google.com/performance-max
f0f94fa2,Accounting,Bookkeeper,General,Analysis,Sentiment analysis,Low,AO,Complemented,MindBridge,https://www.mindbridge.ai
85bd0efd,Accounting,Bookkeeper,General,Analysis,Earnings call summary,Low,AO,Complemented,GitHub Copilot,https://github.com/features/copilot
95deae62,Accounting,Bookkeeper,General,Creative,Ad graphic generation,High,PA,Replaced,Google Performance Max,https://ads.google.com/performance-max
16009e67,Accounting,Bookkeeper,General,Creative,Blog outline,Low,AO,Complemented,Adobe Firefly,https://www.adobe.com/products/firefly.html
d3ca49b7,Accounting,Bookkeeper,General,Testing,Unit test generation,Moderate,PA,Complemented,LawGeex,https://www.lawgeex.com
e6873395,Accounting,Audit Associate,General,Automation,Invoice OCR,Low,AO,Complemented,Google Performance Max,https://ads.google.com/performance-max
64aea845,Accounting,Audit Associate,General,Automation,Ticket triage,High,PA,Replaced,Jasper,https://jasper.ai
7daa81a8,Accounting,Audit Associate,General,Automation,Alert noise reduction,Low,AO,Complemented,LawGeex,https://www.lawgeex.com
bb824f73,Accounting,Audit Associate,General,Reporting,Monthly KPI deck,Low,AO,Complemented,ChatGPT,https://chat.openai.com
ee365e48,Accounting,Audit Associate,General,Reporting,Variance analysis narrative,Low,AO,Complemented,Otter.ai,https://otter.ai
487f7806,Accounting,Audit Associate,General,Analysis,Trend forecasting,Moderate,PA,Complemented,GA4 Insight Finder,https://support.google.com/analytics/answer/9443595
27dd3bde,Accounting,Audit Associate,General,Creative,Blog outline,Low,AO,Complemented,ChatGPT,https://chat.openai.com
23173889,Accounting,Audit Associate,General,Creative,Concept art,Low,AO,Complemented,MindBridge,https://www.mindbridge.ai
ae16df05,Accounting,Audit Associate,General,Creative,Lesson plan draft,Low,AO,Complemented,Otter.ai,https://otter.ai
51c73ced,Accounting,Audit Associate,General,Testing,Load test script,Low,AO,Complemented,HashiCorp Ai/Code,https://developer.hashicorp.com/terraform/cloud/aicode
4860044b,Accounting,Controller,General,Reporting,Monthly KPI deck,High,PA,Replaced,Google Performance Max,https://ads.google.com/performance-max
28f4f210,Accounting,Controller,General,Reporting,Pipeline dashboard,High,PA,Replaced,Adobe Firefly,https://www.adobe.com/products/firefly.html
f63993f9,Accounting,Controller,General,Reporting,Variance analysis narrative,High,PA,Replaced,GitHub Copilot,https://github.com/features/copilot
74c4f108,Accounting,Controller,General,Analysis,Sentiment analysis,High,PA,Replaced,Tableau Pulse,https://www.tableau.com/products/new-features/tableau-pulse
b09c0251,Accounting,Controller,General,Analysis,Competitive benchmarking,Moderate,PA,Complemented,Google Performance Max,https://ads.google.com/performance-max
