id,industry,role,sub_role,main_workflow,subroutine,risk_level,ai_coverage,impact_type,tools,tool_urls
ffb48c97,Accounting,Controller,General,Analysis,Earnings call summary,Low,AO,Complemented,Tableau Pulse,https://www.tableau.com/products/new-features/tableau-pulse
267c9ee8,Accounting,Controller,General,Creative,Concept art,Moderate,PA,Complemented,Tableau Pulse,https://www.tableau.com/products/new-features/tableau-pulse
e0a55f55,Accounting,Controller,General,Creative,Lesson plan draft,Moderate,PA,Complemented,GA4 Insight Finder,https://support.google.com/analytics/answer/9443595
051e0300,Accounting,Controller,General,Testing,Load test script,Low,AO,Complemented,Tableau Pulse,https://www.tableau.com/products/new-features/tableau-pulse
508d4d53,Accounting,Controller,General,Testing,User-testing summary,Low,AO,Complemented,MindBridge,https://www.mindbridge.ai
bb15ccb3,Accounting,FP&A Analyst,General,Automation,Data entry,Low,AO,Complemented,Otter.ai,https://otter.ai
70fd465a,Accounting,FP&A Analyst,General,Automation,Invoice OCR,Moderate,PA,Complemented,Jasper,https://jasper.ai
4b4a2f3d,Accounting,FP&A Analyst,General,Automation,Ticket triage,High,PA,Replaced,MindBridge,https://www.mindbridge.ai
36a6eb0e,Accounting,FP&A Analyst,General,Automation,Alert noise reduction,Moderate,PA,Complemented,Tableau Pulse,https://www.tableau.com/products/new-features/tableau-pulse
3111bd9c,Accounting,FP&A Analyst,General,Reporting,Pipeline dashboard,Moderate,PA,Complemented,Tableau Pulse,https://www.tableau.com/products/new-features/tableau-pulse
7d62a404,Accounting,FP&A Analyst,General,Reporting,Variance analysis narrative,Moderate,PA,Complemented,Otter.ai,https://otter.ai
a438c2ed,Accounting,FP&A Analyst,General,Analysis,Sentiment analysis,High,PA,Replaced,HashiCorp Ai/Code,https://developer.hashicorp.com/terraform/cloud/aicode
efe54dec,Accounting,FP&A Analyst,General,Analysis,Trend forecasting,Moderate,PA,Complemented,HashiCorp Ai/Code,https://developer.hashicorp.com/terraform/cloud/aicode
9dfc21a2,Accounting,FP&A Analyst,General,Creative,Concept art,Moderate,PA,Complemented,Google Performance Max,https://ads.google.com/performance-max
2a7c79b6,Accounting,FP&A Analyst,General,Testing,Unit test generation,Low,AO,Complemented,MindBridge,https://www.mindbridge.ai
ab0e55d2,Accounting,FP&A Analyst,General,Testing,User-testing summary,Low,AO,Complemented,GA4 Insight Finder,https://support.google.com/analytics/answer/9443595
6c627284,Software Eng,Junior Dev,General,Automation,Data entry,Moderate,PA,Complemented,Otter.ai,https://otter.ai
6210b029,Software Eng,Junior Dev,General,Reporting,Monthly KPI deck,Moderate,PA,Complemented,Jasper,https://jasper.ai
f72934bc,Software Eng,Junior Dev,General,Reporting,Variance analysis narrative,High,PA,Replaced,LawGeex,https://www.lawgeex.com
14a2366e,Software Eng,Junior Dev,General,Analysis,Trend forecasting,High,PA,Replaced,GitHub Copilot,https://github.com/features/copilot
03d39e36,Software Eng,Junior Dev,General,Creative,Ad graphic generation,High,PA,Replaced,Jasper,https://jasper.ai
e1edf3bc,Software Eng,Junior Dev,General,Creative,Blog outline,Low,AO,Complemented,Otter.ai,https://otter.ai
bee08463,Software Eng,Junior Dev,General,Creative,Concept art,High,PA,Replaced,LawGeex,https://www.lawgeex.com
7a4f5585,Software Eng,Junior Dev,General,Testing,User-testing summary,Low,AO,Complemented,GitHub Copilot,https://github.com/features/copilot
631303f3,Software Eng,Senior Dev,General,Automation,Ticket triage,High,PA,Replaced,GitHub Copilot,https://github.com/features/copilot
cd08328e,Software Eng,Senior Dev,General,Automation,Alert noise reduction,Low,AO,Complemented,ChatGPT,https://chat.openai.com
0c648c8a,Software Eng,Senior Dev,General,Reporting,Variance analysis narrative,High,PA,Replaced,LawGeex,https://www.lawgeex.com
8e29d01a,Software Eng,Senior Dev,General,Creative,Ad graphic generation,High,PA,Replaced,Google Performance Max,https://ads.google.com/performance-max
63ccbfd9,Software Eng,Senior Dev,General,Creative,Concept art,High,PA,Replaced,Otter.ai,https://otter.ai
eccc7d34,Software Eng,Senior Dev,General,Testing,Unit test generation,Moderate,PA,Complemented,ChatGPT,https://chat.openai.com
22f84a43,Software Eng,QA Engineer,General,Automation,Data entry,High,PA,Replaced,HashiCorp Ai/Code,https://developer.hashicorp.com/terraform/cloud/aicode
410477ce,Software Eng,QA Engineer,General,Automation,Ticket triage,Low,AO,Complemented,Otter.ai,https://otter.ai
bdebdce9,Software Eng,QA Engineer,General,Reporting,Monthly KPI deck,High,PA,Replaced,LawGeex,https://www.lawgeex.com
b802ff6a,Software Eng,QA Engineer,General,Analysis,Sentiment analysis,Moderate,PA,Complemented,Jasper,https://jasper.ai
b6d36435,Software Eng,QA Engineer,General,Analysis,Competitive benchmarking,Low,AO,Complemented,Google Performance Max,https://ads.google.com/performance-max
3fe6de33,Software Eng,QA Engineer,General,Analysis,Earnings call summary,Low,AO,Complemented,Google Performance Max,https://ads.google.com/performance-max
224d9d22,Software Eng,QA Engineer,General,Creative,Ad graphic generation,High,PA,Replaced,GitHub Copilot,https://github.com/features/copilot
2183c272,Software Eng,QA Engineer,General,Creative,Blog outline,High,PA,Replaced,GitHub Copilot,https://github.com/features/copilot
6d264a63,Software Eng,QA Engineer,General,Testing,Load test script,Moderate,PA,Complemented,Adobe Firefly,https://www.adobe.com/products/firefly.html
317c676e,Software Eng,DevOps,General,Automation,Data entry,Moderate,PA,Complemented,Otter.ai,https://otter.ai
b39831b5,Software Eng,DevOps,General,Automation,Alert noise reduction,Moderate,PA,Complemented,LawGeex,https://www.lawgeex.com
744c4892,Software Eng,DevOps,General,Creative,Ad graphic generation,High,PA,Replaced,GitHub Copilot,https://github.com/features/copilot
a0f4614c,Software Eng,DevOps,General,Creative,Blog outline,Moderate,PA,Complemented,Adobe Firefly,https://www.adobe.com/products/firefly.html
95a2214a,Software Eng,DevOps,General,Creative,Lesson plan draft,Low,AO,Complemented,GA4 Insight Finder,https://support.google.com/analytics/answer/9443595
ac7baf3d,Sales,SDR,General,Automation,Data entry,Moderate,PA,Complemented,MindBridge,https://www.mindbridge.ai
00bc2440,Sales,SDR,General,Automation,Invoice OCR,Low,AO,Complemented,GA4 Insight Finder,https://support.google.com/analytics/answer/9443595
ac66473a,Sales,SDR,General,Reporting,Pipeline dashboard,High,PA,Replaced,GA4 Insight Finder,https://support.google.com/analytics/answer/9443595
944854a9,Sales,SDR,General,Analysis,Competitive benchmarking,Low,AO,Complemented,GA4 Insight Finder,https://support.google.com/analytics/answer/9443595
9eee219f,Sales,SDR,General,Creative,Concept art,Moderate,PA,Complemented,Google Performance Max,https://ads.google.com/performance-max
5c5ac7a0,Sales,SDR,General,Testing,User-testing summary,High,PA,Replaced,Otter.ai,https://otter.ai
e31b3705,Sales,Account Executive,General,Automation,Alert noise reduction,Moderate,PA,Complemented,Otter.ai,https://otter.ai
ab44f458,Sales,Account Executive,General,Analysis,Trend forecasting,High,PA,Replaced,Adobe Firefly,https://www.adobe.com/products/firefly.html
29000edc,Sales,Account Executive,General,Creative,Ad graphic generation,Low,AO,Complemented,Otter.ai,https://otter.ai
50cf2cca,Sales,Account Executive,General,Creative,Concept art,Low,AO,Complemented,MindBridge,https://www.mindbridge.ai
e9516fb6,Sales,Account Executive,General,Creative,Lesson plan draft,Low,AO,Complemented,ChatGPT,https://chat.openai.com
3118637a,Sales,Account Executive,General,Testing,Load test script,Moderate,PA,Complemented,MindBridge,https://www.mindbridge.ai
01ab2ea2,Sales,Account Executive,General,Testing,User-testing summary,High,PA,Replaced,MindBridge,https://www.mindbridge.ai
a01bb570,Sales,Sales Ops Analyst,General,Automation,Data entry,Low,AO,Complemented,Adobe Firefly,https://www.adobe.com/products/firefly.html
4c8613f5,Sales,Sales Ops Analyst,General,Reporting,Monthly KPI deck,High,PA,Replaced,GA4 Insight Finder,https://support.google.com/analytics/answer/9443595
c5d51d40,Sales,Sales Ops Analyst,General,Analysis,Earnings call summary,Low,AO,Complemented,Tableau Pulse,https://www.tableau.com/products/new-features/tableau-pulse
e638034f,Sales,Sales Ops Analyst,General,Analysis,Trend forecasting,Moderate,PA,Complemented,Tableau Pulse,https://www.tableau.com/products/new-features/tableau-pulse
033a5e4a,Sales,Sales Ops Analyst,General,Creative,Ad graphic generation,Moderate,PA,Complemented,Otter.ai,https://otter.ai
3d142ab4,Sales,Sales Ops Analyst,General,Creative,Concept art,Low,AO,Complemented,LawGeex,https://www.lawgeex.com
3f9bc436,Sales,Sales Ops Analyst,General,Creative,Lesson plan draft,Low,AO,Complemented,HashiCorp Ai/Code,https://developer.hashicorp.com/terraform/cloud/aicode
94516343,Sales,Sales Ops Analyst,General,Testing,Load test script,Moderate,PA,Complemented,GitHub Copilot,https://github.com/features/copilot
613d43f3,Sales,Sales Ops Analyst,General,Testing,User-testing summary,High,PA,Replaced,Google Performance Max,https://ads.google.com/performance-max
bb297c4f,Sales,Customer Success Manager,General,Automation,Invoice OCR,High,PA,Replaced,LawGeex,https://www.lawgeex.com
e42d5483,Sales,Customer Success Manager,General,Automation,Ticket triage,High,PA,Replaced,LawGeex,https://www.lawgeex.com
6f1671db,Sales,Customer Success Manager,General,Automation,Alert noise reduction,Low,AO,Complemented,GitHub Copilot,https://github.com/features/copilot
d9fa8eae,Sales,Customer Success Manager,General,Analysis,Trend forecasting,Low,AO,Complemented,Tableau Pulse,https://www.tableau.com/products/new-features/tableau-pulse
5c74cd1f,Sales,Customer Success Manager,General,Creative,Concept art,High,PA,Replaced,ChatGPT,https://chat.openai.com
7962f4bd,Sales,Customer Success Manager,General,Creative,Lesson plan draft,Low,AO,Complemented,Tableau Pulse,https://www.tableau.com/products/new-features/tableau-pulse
4ee53f48,Sales,Customer Success Manager,General,Testing,Load test script,Moderate,PA,Complemented,Adobe Firefly,https://www.adobe.com/products/firefly.html
4f783762,Sales,Customer Success Manager,General,Testing,User-testing summary,Low,AO,Complemented,Otter.ai,https://otter.ai
357f342f,HR,Recruiter,General,Automation,Data entry,Moderate,PA,Complemented,Otter.ai,https://otter.ai
a44c17f9,HR,Recruiter,General,Automation,Alert noise reduction,Low,AO,Complemented,LawGeex,https://www.lawgeex.com
95d21489,HR,Recruiter,General,Analysis,Sentiment analysis,Moderate,PA,Complemented,Jasper,https://jasper.ai
4c614b75,HR,Recruiter,General,Analysis,Trend forecasting,High,PA,Replaced,LawGeex,https://www.lawgeex.com
379b269e,HR,Recruiter,General,Creative,Blog outline,Moderate,PA,Complemented,Adobe Firefly,https://www.adobe.com/products/firefly.html
be56bfdc,HR,Recruiter,General,Testing,Unit test generation,Low,AO,Complemented,Google Performance Max,https://ads.google.com/performance-max
728beef0,HR,Recruiter,General,Testing,Load test script,Low,AO,Complemented,LawGeex,https://www.lawgeex.com
cd7e2a97,HR,HR Generalist,General,Automation,Invoice OCR,Moderate,PA,Complemented,Otter.ai,https://otter.ai
cff7f1ad,HR,HR Generalist,General,Automation,Ticket triage,High,PA,Replaced,Adobe Firefly,https://www.adobe.com/products/firefly.html
6b062ac9,HR,HR Generalist,General,Reporting,Monthly KPI deck,Moderate,PA,Complemented,MindBridge,https://www.mindbridge.ai
c06f2817,HR,HR Generalist,General,Reporting,Pipeline dashboard,Low,AO,Complemented,Tableau Pulse,https://www.tableau.com/products/new-features/tableau-pulse
5e373c13,HR,HR Generalist,General,Analysis,Trend forecasting,Low,AO,Complemented,HashiCorp Ai/Code,https://developer.hashicorp.com/terraform/cloud/aicode
e30ab9e7,HR,HR Generalist,General,Creative,Ad graphic generation,Low,AO,Complemented,Google Performance Max,https://ads.google.com/performance-max
9c2b9ca4,HR,HR Generalist,General,Creative,Lesson plan draft,Moderate,PA,Complemented,Adobe Firefly,https://www.adobe.com/products/firefly.html
65ea4316,HR,HR Generalist,General,Testing,Unit test generation,High,PA,Replaced,Tableau Pulse,https://www.tableau.com/products/new-features/tableau-pulse
52913c74,HR,HR Generalist,General,Testing,User-testing summary,Low,AO,Complemented,HashiCorp Ai/Code,https://developer.hashicorp.com/terraform/cloud/aicode
cb586738,HR,L&D Specialist,General,Automation,Ticket triage,Low,AO,Complemented,HashiCorp Ai/Code,https://developer.hashicorp.com/terraform/cloud/aicode
3ae1f4d6,HR,L&D Specialist,General,Reporting,Monthly KPI deck,High,PA,Replaced,GA4 Insight Finder,https://support.google.com/analytics/answer/9443595
a88c9b4a,HR,L&D Specialist,General,Reporting,Variance analysis narrative,Low,AO,Complemented,LawGeex,https://www.lawgeex.com
e4d743cf,HR,L&D Specialist,General,Testing,Unit test generation,High,PA,Replaced,LawGeex,https://www.lawgeex.com
986c43a1,HR,L&D Specialist,General,Testing,User-testing summary,High,PA,Replaced,Google Performance Max,https://ads.google.com/performance-max
0ef4bf16,HR,Compensation Analyst,General,Automation,Alert noise reduction,High,PA,Replaced,Jasper,https://jasper.ai
b43048d2,HR,Compensation Analyst,General,Reporting,Monthly KPI deck,High,PA,Replaced,GitHub Copilot,https://github.com/features/copilot
4dd99867,HR,Compensation Analyst,General,Analysis,Sentiment analysis,Low,AO,Complemented,GitHub Copilot,https://github.com/features/copilot
b13ee922,HR,Compensation Analyst,General,Analysis,Earnings call summary,Low,AO,Complemented,MindBridge,https://www.mindbridge.ai
02490050,HR,Compensation Analyst,General,Analysis,Trend forecasting,Moderate,PA,Complemented,Jasper,https://jasper.ai
7e238ed3,HR,Compensation Analyst,General,Creative,Blog outline,High,PA,Replaced,GA4 Insight Finder,https://support.google.com/analytics/answer/9443595
d04b766f,HR,Compensation Analyst,General,Testing,Unit test generation,High,PA,Replaced,Tableau Pulse,https://www.tableau.com/products/new-features/tableau-pulse
d06177d2,HR,Compensation Analyst,General,Testing,Load test script,Low,AO,Complemented,Otter.ai,https://otter.ai
1a85b5d3,HR,Compensation Analyst,General,Testing,User-testing summary,High,PA,Replaced,Adobe Firefly,https://www.adobe.com/products/firefly.html
dcee8366,Customer Support,Support Agent,General,Automation,Data entry,Low,AO,Complemented,GitHub Copilot,https://github.com/features/copilot
4f76701e,Customer Support,Support Agent,General,Automation,Alert noise reduction,Low,AO,Complemented,Adobe Firefly,https://www.adobe.com/products/firefly.html
1338bf85,Customer Support,Support Agent,General,Reporting,Variance analysis narrative,High,PA,Replaced,ChatGPT,https://chat.openai.com
1239f58b,Customer Support,Support Agent,General,Analysis,Sentiment analysis,Low,AO,Complemented,MindBridge,https://www.mindbridge.ai
9a698552,Customer Support,Support Agent,General,Analysis,Earnings call summary,Moderate,PA,Complemented,Google Performance Max,https://ads.google.com/performance-max
72568758,Customer Support,Support Agent,General,Analysis,Trend forecasting,High,PA,Replaced,LawGeex,https://www.lawgeex.com
b80c1a3f,Customer Support,Support Agent,General,Testing,Load test script,Moderate,PA,Complemented,ChatGPT,https://chat.openai.com
dffd60c2,Customer Support,Support Manager,General,Automation,Data entry,Low,AO,Complemented,ChatGPT,https://chat.openai.com
1190fc27,Customer Support,Support Manager,General,Automation,Ticket triage,Low,AO,Complemented,Adobe Firefly,https://www.adobe.com/products/firefly.html
3cdbeb93,Customer Support,Support Manager,General,Reporting,Pipeline dashboard,Moderate,PA,Complemented,HashiCorp Ai/Code,https://developer.hashicorp.com/terraform/cloud/aicode
c43cbb44,Customer Support,Support Manager,General,Reporting,Variance analysis narrative,High,PA,Replaced,LawGeex,https://www.lawgeex.com
0acb04da,Customer Support,Support Manager,General,Analysis,Sentiment analysis,Low,AO,Complemented,GitHub Copilot,https://github.com/features/copilot
0321caef,Customer Support,Support Manager,General,Analysis,Competitive benchmarking,Low,AO,Complemented,Tableau Pulse,https://www.tableau.com/products/new-features/tableau-pulse
72d47bdb,Customer Support,Support Manager,General,Analysis,Trend forecasting,High,PA,Replaced,Google Performance Max,https://ads.google.com/performance-max
cba551b3,Customer Support,Support Manager,General,Creative,Ad graphic generation,Moderate,PA,Complemented,Otter.ai,https://otter.ai
8c383dee,Customer Support,Support Manager,General,Testing,Unit test generation,Moderate,PA,Complemented,MindBridge,https://www.mindbridge.ai
42b7bfcf,Customer Support,Support Manager,General,Testing,Load test script,High,PA,Replaced,Adobe Firefly,https://www.adobe.com/products/firefly.html
1b27fca1,Education,Teacher,General,Automation,Data entry,Low,AO,Complemented,Otter.ai,https://otter.ai
9f578078,Education,Teacher,General,Automation,Alert noise reduction,Low,AO,Complemented,Tableau Pulse,https://www.tableau.com/products/new-features/tableau-pulse
115e972b,Education,Teacher,General,Reporting,Variance analysis narrative,Low,AO,Complemented,Tableau Pulse,https://www.tableau.com/products/new-features/tableau-pulse
45bf9bb6,Education,Teacher,General,Analysis,Sentiment analysis,High,PA,Replaced,MindBridge,https://www.mindbridge.ai
79ab7db9,Education,Teacher,General,Analysis,Competitive benchmarking,Moderate,PA,Complemented,Google Performance Max,https://ads.google.com/performance-max
4a862c86,Education,Teacher,General,Creative,Ad graphic generation,High,PA,Replaced,LawGeex,https://www.lawgeex.com
fbdbc675,Education,Teacher,General,Creative,Concept art,Low,AO,Complemented,Adobe Firefly,https://www.adobe.com/products/firefly.html
3aa1fc2d,Education,Teacher,General,Testing,Unit test generation,High,PA,Replaced,HashiCorp Ai/Code,https://developer.hashicorp.com/terraform/cloud/aicode
706bc5cb,Education,Teacher,General,Testing,Load test script,Low,AO,Complemented,Tableau Pulse,https://www.tableau.com/products/new-features/tableau-pulse
c931d57e,Education,Teacher,General,Testing,User-testing summary,Low,AO,Complemented,Jasper,https://jasper.ai
d359f82b,Education,Instructional Designer,General,Automation,Ticket triage,High,PA,Replaced,Google Performance Max,https://ads.google.com/performance-max
ea94b4a1,Education,Instructional Designer,General,Automation,Alert noise reduction,Low,AO,Complemented,Tableau Pulse,https://www.tableau.com/products/new-features/tableau-pulse
2cc14942,Education,Instructional Designer,General,Reporting,Monthly KPI deck,High,PA,Replaced,Google Performance Max,https://ads.google.com/performance-max
3755719d,Education,Instructional Designer,General,Analysis,Earnings call summary,Moderate,PA,Complemented,Otter.ai,https://otter.ai
6ae0c130,Education,Instructional Designer,General,Creative,Concept art,Low,AO,Complemented,LawGeex,https://www.lawgeex.com
818353ce,Education,Instructional Designer,General,Creative,Lesson plan draft,High,PA,Replaced,ChatGPT,https://chat.openai.com
4ac867e3,Education,Instructional Designer,General,Testing,User-testing summary,Low,AO,Complemented,GA4 Insight Finder,https://support.google.com/analytics/answer/9443595
fcdecf6e,Education,Tutor,General,Automation,Invoice OCR,High,PA,Replaced,Tableau Pulse,https://www.tableau.com/products/new-features/tableau-pulse
3d1f735d,Education,Tutor,General,Analysis,Competitive benchmarking,Moderate,PA,Complemented,Tableau Pulse,https://www.tableau.com/products/new-features/tableau-pulse
58621707,Education,Tutor,General,Analysis,Earnings call summary,Low,AO,Complemented,GitHub Copilot,https://github.com/features/copilot
f7ed6b78,Education,Tutor,General,Analysis,Trend forecasting,High,PA,Replaced,Adobe Firefly,https://www.adobe.com/products/firefly.html
a03dc1b8,Education,Tutor,General,Creative,Ad graphic generation,Moderate,PA,Complemented,MindBridge,https://www.mindbridge.ai
00fd4975,Education,Tutor,General,Testing,Unit test generation,High,PA,Replaced,HashiCorp Ai/Code,https://developer.hashicorp.com/terraform/cloud/aicode
f2733af8,Education,Tutor,General,Testing,User-testing summary,Moderate,PA,Complemented,Jasper,https://jasper.ai
